TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
1744506,2018-09-30 00:00:01,4423,7637,12.29,15724801,182,0,0
1744507,2018-09-30 00:00:27,3680,5369,222.32,15724827,182,1,1
1744508,2018-09-30 00:00:38,3255,1246,8.79,15724838,182,0,0
1744509,2018-09-30 00:01:49,1353,8423,33.77,15724909,182,0,0
1744510,2018-09-30 00:02:09,1231,1382,60.86,15724929,182,0,0
1744511,2018-09-30 00:03:40,2143,4106,143.69,15725020,182,0,0
1744512,2018-09-30 00:04:19,1663,3774,103.82,15725059,182,0,0
1744513,2018-09-30 00:06:14,2900,8242,11.99,15725174,182,0,0
1744514,2018-09-30 00:06:47,2923,3818,24.96,15725207,182,0,0
1744515,2018-09-30 00:07:06,2084,2592,57.55,15725226,182,0,0
1744516,2018-09-30 00:07:59,3783,3256,40.32,15725279,182,0,0
1744517,2018-09-30 00:08:54,716,6769,47.04,15725334,182,0,0
1744518,2018-09-30 00:12:30,1543,9995,72.58,15725550,182,0,0
1744519,2018-09-30 00:13:35,3317,4115,6.89,15725615,182,0,0
1744520,2018-09-30 00:14:36,3336,3200,30.31,15725676,182,0,0
1744521,2018-09-30 00:14:39,3787,6708,122.86,15725679,182,0,0
1744522,2018-09-30 00:14:50,621,5045,63.32,15725690,182,0,0
1744523,2018-09-30 00:15:01,2210,7622,13.17,15725701,182,0,0
1744524,2018-09-30 00:15:28,4929,5295,47.05,15725728,182,0,0
1744525,2018-09-30 00:16:21,3333,8537,61.57,15725781,182,0,0
1744526,2018-09-30 00:16:30,139,6194,85.61,15725790,182,0,0
1744527,2018-09-30 00:16:43,4941,4469,3.82,15725803,182,0,0
1744528,2018-09-30 00:17:28,234,388,43.73,15725848,182,0,0
1744529,2018-09-30 00:18:17,4591,4091,115.72,15725897,182,0,0
1744530,2018-09-30 00:18:29,3474,1543,8.56,15725909,182,0,0
1744531,2018-09-30 00:18:33,2551,9878,17.31,15725913,182,0,0
1744532,2018-09-30 00:19:12,1614,9915,128.91,15725952,182,0,0
1744533,2018-09-30 00:20:04,510,9561,53.06,15726004,182,0,0
1744534,2018-09-30 00:20:16,40,1840,124.01,15726016,182,0,0
1744535,2018-09-30 00:20:27,1376,9421,43.15,15726027,182,0,0
1744536,2018-09-30 00:26:24,3143,8609,74.4,15726384,182,0,0
1744537,2018-09-30 00:27:35,3817,5455,131.06,15726455,182,0,0
1744538,2018-09-30 00:27:59,2989,9987,7.74,15726479,182,0,0
1744539,2018-09-30 00:28:47,4339,1171,75.23,15726527,182,0,0
1744540,2018-09-30 00:29:07,3378,9640,12.0,15726547,182,0,0
1744541,2018-09-30 00:30:51,410,5704,101.59,15726651,182,0,0
1744542,2018-09-30 00:30:58,4073,4084,57.72,15726658,182,0,0
