TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
1370827,2018-08-22 00:03:30,948,7130,12.31,12355410,143,0,0
1370828,2018-08-22 00:03:45,1020,3867,64.55,12355425,143,0,0
1370829,2018-08-22 00:04:26,2955,3368,36.64,12355466,143,0,0
1370830,2018-08-22 00:04:55,4487,5485,78.35,12355495,143,0,0
1370831,2018-08-22 00:06:19,978,8832,29.56,12355579,143,0,0
1370832,2018-08-22 00:07:19,2420,3812,65.59,12355639,143,0,0
1370833,2018-08-22 00:08:19,4429,3027,51.99,12355699,143,0,0
1370834,2018-08-22 00:08:33,4505,8136,18.78,12355713,143,0,0
1370835,2018-08-22 00:09:45,3386,8165,56.24,12355785,143,0,0
1370836,2018-08-22 00:10:19,4554,6923,73.6,12355819,143,0,0
1370837,2018-08-22 00:11:00,1715,6169,7.22,12355860,143,0,0
1370838,2018-08-22 00:11:23,4317,3159,35.97,12355883,143,0,0
1370839,2018-08-22 00:12:00,3476,1657,3.91,12355920,143,0,0
1370840,2018-08-22 00:12:36,4542,1214,13.67,12355956,143,0,0
1370841,2018-08-22 00:13:46,212,1012,73.48,12356026,143,0,0
1370842,2018-08-22 00:15:49,1413,652,49.95,12356149,143,0,0
1370843,2018-08-22 00:15:57,260,7712,32.9,12356157,143,0,0
1370844,2018-08-22 00:17:08,2805,1183,164.5,12356228,143,0,0
1370845,2018-08-22 00:18:26,4465,2843,19.08,12356306,143,0,0
1370846,2018-08-22 00:19:09,385,2156,12.28,12356349,143,0,0
1370847,2018-08-22 00:19:26,3884,9388,51.57,12356366,143,0,0
1370848,2018-08-22 00:20:41,3751,2700,61.16,12356441,143,0,0
1370849,2018-08-22 00:21:06,3275,9783,56.74,12356466,143,0,0
1370850,2018-08-22 00:21:17,3054,6331,65.67,12356477,143,0,0
1370851,2018-08-22 00:21:23,4404,7609,28.74,12356483,143,0,0
1370852,2018-08-22 00:25:00,4007,275,77.93,12356700,143,0,0
1370853,2018-08-22 00:25:21,2971,6606,38.69,12356721,143,0,0
1370854,2018-08-22 00:25:36,4248,9165,108.96,12356736,143,0,0
1370855,2018-08-22 00:26:18,1306,245,53.69,12356778,143,0,0
1370856,2018-08-22 00:26:54,2032,3453,29.66,12356814,143,0,0
1370857,2018-08-22 00:27:05,3907,4604,37.87,12356825,143,0,0
1370858,2018-08-22 00:27:34,1929,4198,18.87,12356854,143,0,0
1370859,2018-08-22 00:28:05,837,1616,10.49,12356885,143,0,0
1370860,2018-08-22 00:28:20,2430,4846,46.68,12356900,143,0,0
1370861,2018-08-22 00:28:28,4923,2915,117.22,12356908,143,0,0
1370862,2018-08-22 00:29:41,3847,7450,28.93,12356981,143,0,0
1370863,2018-08-22 00:31:13,4173,1924,36.21,12357073,143,0,0
1370864,2018-08-22 00:32:31,4561,3830,34.78,12357151,143,0,0
1370865,2018-08-22 00:32:34,1506,1211,5.98,12357154,143,0,0
1370866,2018-08-22 00:33:13,363,8277,11.95,12357193,143,0,0
1370867,2018-08-22 00:33:15,2262,6989,97.33,12357195,143,0,0
1370868,2018-08-22 00:35:50,1884,3154,98.17,12357350,143,0,0
1370869,2018-08-22 00:36:25,2858,9479,61.14,12357385,143,0,0
1370870,2018-08-22 00:36:31,782,299,24.72,12357391,143,0,0
1370871,2018-08-22 00:36:40,3229,5336,64.29,12357400,143,0,0
1370872,2018-08-22 00:36:42,1074,4436,107.42,12357402,143,0,0
1370873,2018-08-22 00:38:42,4219,1175,49.3,12357522,143,0,0
1370874,2018-08-22 00:38:50,4684,7204,21.9,12357530,143,0,0
1370875,2018-08-22 00:40:17,1113,7131,66.52,12357617,143,0,0
1370876,2018-08-22 00:42:24,3183,2433,22.14,12357744,143,0,0
1370877,2018-08-22 00:42:37,4599,9907,63.53,12357757,143,0,0
1370878,2018-08-22 00:42:38,539,4689,19.69,12357758,143,0,0
1370879,2018-08-22 00:42:50,3774,5851,110.26,12357770,143,0,0
1370880,2018-08-22 00:42:59,4143,9644,47.73,12357779,143,0,0
1370881,2018-08-22 00:43:41,979,6086,71.38,12357821,143,0,0
1370882,2018-08-22 00:44:24,2024,9740,66.3,12357864,143,0,0
1370883,2018-08-22 00:45:46,2253,7169,13.79,12357946,143,0,0
1370884,2018-08-22 00:46:22,2391,1345,15.44,12357982,143,0,0
1370885,2018-08-22 00:46:25,4194,4611,17.67,12357985,143,0,0
1370886,2018-08-22 00:46:53,4033,7263,34.99,12358013,143,0,0
1370887,2018-08-22 00:48:17,3067,812,14.42,12358097,143,0,0
1370888,2018-08-22 00:48:43,3381,6401,64.45,12358123,143,0,0
1370889,2018-08-22 00:48:49,4678,1717,190.15,12358129,143,0,0
1370890,2018-08-22 00:48:57,3537,4596,48.08,12358137,143,0,0
1370891,2018-08-22 00:49:24,1262,7552,21.92,12358164,143,0,0
1370892,2018-08-22 00:50:04,2469,7538,60.35,12358204,143,0,0
1370893,2018-08-22 00:50:05,4861,186,3.0,12358205,143,0,0
1370894,2018-08-22 00:50:24,1557,8833,74.77,12358224,143,0,0
1370895,2018-08-22 00:50:36,1187,3190,101.7,12358236,143,0,0
1370896,2018-08-22 00:51:32,197,3355,56.8,12358292,143,0,0
1370897,2018-08-22 00:51:42,4468,2458,17.02,12358302,143,0,0
1370898,2018-08-22 00:52:03,2628,9666,17.03,12358323,143,0,0
1370899,2018-08-22 00:52:08,4237,1622,19.96,12358328,143,0,0
1370900,2018-08-22 00:52:44,108,6762,62.75,12358364,143,0,0
1370901,2018-08-22 00:53:56,3973,8816,9.15,12358436,143,0,0
1370902,2018-08-22 00:54:59,1103,3365,39.86,12358499,143,0,0
1370903,2018-08-22 00:55:16,4833,6193,23.89,12358516,143,0,0
1370904,2018-08-22 00:55:38,2030,6827,39.39,12358538,143,0,0
